"","word","freq"
"1268","bucks",548
"1269","bud",434
"1270","buddies",173
"1271","buddy",900
"1272","budget",3267
"1273","budgets",251
"1274","buffalo",507
"1275","buffet",206
"1276","buffett",157
"1277","bug",298
"1278","bugs",203
"1279","build",2031
"1280","builders",139
"1281","building",3934
"1282","buildings",872
"1283","builds",126
"1284","built",1878
"1285","bulbs",122
"1286","bulk",214
"1287","bull",406
"1288","bulldogs",64
"1289","bullet",242
"1290","bullets",104
"1291","bullied",57
"1292","bullpen",318
"1293","bulls",842
"1294","bully",219
"1295","bullying",383
"1296","bum",168
"1297","bummed",149
"1298","bummer",224
"1299","bump",265
"1300","bumped",36
"1301","bumper",80
"1302","bumping",58
"1303","bunch",934
"1304","bundle",54
"1305","bunker",39
"1306","bunny",227
"1307","burden",300
"1308","bureau",650
"1309","burger",688
"1310","burgers",316
"1311","burglary",202
"1312","buried",283
"1313","burke",204
"1314","burlington",96
"1315","burn",615
"1316","burned",392
"1317","burning",499
"1318","burns",277
"1319","burnt",106
"1320","burrito",154
"1321","burst",199
"1322","burton",202
"1323","bus",1883
"1324","busch",274
"1325","buses",261
"1326","bush",742
"1327","busiest",100
"1328","business",7797
"1329","businesses",1693
"1330","businessman",174
"1331","bust",268
"1332","busted",176
"1333","busting",40
"1334","busy",2146
"1335","but",84001
"1336","butcher",36
"1337","butler",408
"1338","butter",929
"1339","butterflies",142
"1340","butterfly",142
"1341","button",623
"1342","buttons",123
"1343","buy",4321
"1344","buyer",200
"1345","buyers",458
"1346","buying",1273
"1347","buys",182
"1348","buzz",429
"1349","buzzer",64
"1350","bye",738
"1351","bynum",261
"1352","byron",95
"1353","c'mon",285
"1354","cab",277
"1355","cabbage",117
"1356","cabin",284
"1357","cabinet",197
"1358","cable",567
"1359","cabrera",159
"1360","cactus",94
"1361","cadillac",86
"1362","cafe",662
"1363","caffeine",241
"1364","cage",196
"1365","cain",295
"1366","cake",1205
"1367","cakes",262
"1368","cal",461
"1369","calculated",112
"1370","calendar",462
"1371","calendars",107
"1372","calf",17
"1373","cali",269
"1374","caliber",141
"1375","calif",494
"1376","california",2929
"1377","california's",248
"1378","call",9461
"1379","called",6939
"1380","caller",127
"1381","calling",1851
"1382","calls",2222
"1383","calm",530
"1384","calories",624
"1385","calvin",88
"1386","cam",244
"1387","cambridge",101
"1388","camby",93
"1389","camden",328
"1390","came",6768
"1391","camera",977
"1392","cameras",514
"1393","cameron",312
"1394","camino",47
"1395","camp",1530
"1396","campaign",3276
"1397","campaigning",84
"1398","campaigns",352
"1399","campbell",360
"1400","camping",237
"1401","camps",262
"1402","campus",1453
"1403","campuses",182
"1404","can",45320
"1405","can't",16650
"1406","canada",672
"1407","canadian",359
"1408","canal",135
"1409","cancel",227
"1410","canceled",359
"1411","cancelled",263
"1412","cancer",1861
"1413","candidate",1135
"1414","candidates",1201
"1415","candle",108
"1416","candles",165
"1417","candy",637
"1418","canned",160
"1419","cannon",107
"1420","cannot",1977
"1421","canon",62
"1422","cans",202
"1423","cant",2557
"1424","canton",131
"1425","canvas",149
"1426","canyon",395
"1427","cap",782
"1428","capabilities",42
"1429","capable",362
"1430","capacity",493
"1431","cape",296
"1432","capital",1295
"1433","capitalism",61
"1434","capitals",154
"1435","capitol",487
"1436","caps",544
"1437","capt",148
"1438","captain",656
"1439","capture",306
"1440","captured",292
"1441","car",5570
"1442","caramel",226
"1443","carbohydrate",152
"1444","carbon",228
"1445","card",1993
"1446","cardiac",80
"1447","cardinal",210
"1448","cardinals",1033
"1449","cardio",139
"1450","cards",1302
"1451","care",6545
"1452","cared",196
"1453","career",3268
"1454","careers",259
"1455","careful",563
"1456","carefully",320
"1457","caregivers",18
"1458","cares",523
"1459","carey",159
"1460","cargo",158
"1461","caribbean",159
"1462","caring",314
"1463","carl",350
"1464","carlos",398
"1465","carlson",55
"1466","carmel",201
"1467","carnegie",133
"1468","carnival",163
"1469","carol",239
"1470","carolina",1007
"1471","caroline",102
"1472","carolyn",101
"1473","carpenter",251
"1474","carpet",338
"1475","carrie",164
"1476","carried",513
"1477","carrier",192
"1478","carriers",178
"1479","carries",381
"1480","carroll",266
"1481","carrot",91
"1482","carrots",193
"1483","carry",1065
"1484","carrying",481
"1485","cars",1550
"1486","carson",182
"1487","cart",279
"1488","carter",571
"1489","cartoon",170
"1490","cartoons",41
"1491","carts",38
"1492","casa",111
"1493","case",5509
"1494","cases",1694
"1495","casey",313
"1496","cash",1861
"1497","casino",673
"1498","casinos",211
"1499","cast",1191
"1500","casting",376
"1501","castle",305
"1502","castro",171
"1503","casual",353
"1504","cat",1198
"1505","catalog",111
"1506","catch",2146
"1507","catcher",281
"1508","catches",232
"1509","catching",611
"1510","categories",229
"1511","category",499
"1512","catering",176
"1513","cathedral",153
"1514","catherine",162
"1515","catholic",695
"1516","cats",874
"1517","caucus",187
"1518","caught",1595
"1519","cause",4077
"1520","caused",899
"1521","causes",460
"1522","causing",383
"1523","caution",186
"1524","cautious",140
"1525","cavaliers",249
"1526","cave",230
"1527","cavs",377
"1528","cbs",430
"1529","cds",192
"1530","cease",128
"1531","cedar",212
"1532","ceiling",413
